Países;Sexo;Periodo;Total
Lituania;Hombres;2018;43,6
Lituania;Hombres;2017;43,5
Lituania;Hombres;2016;43,1
Lituania;Hombres;2015;42,4
Lituania;Hombres;2014;41,9
Lituania;Mujeres;2020;57,3
Lituania;Mujeres;2019;56,8
Lituania;Mujeres;2018;56,4
Lituania;Mujeres;2017;56,5
Lituania;Mujeres;2016;56,9
Lituania;Mujeres;2015;57,6
Lituania;Mujeres;2014;58,1
Luxemburgo;Hombres;2020;47,2
Luxemburgo;Hombres;2019;47,9
Luxemburgo;Hombres;2018;48,1
Luxemburgo;Hombres;2017;49,1
Luxemburgo;Hombres;2016;49
Luxemburgo;Hombres;2015;49
Luxemburgo;Hombres;2014;48,6
Luxemburgo;Mujeres;2020;52,8
Luxemburgo;Mujeres;2019;52,1
Luxemburgo;Mujeres;2018;51,9
Luxemburgo;Mujeres;2017;50,9
Luxemburgo;Mujeres;2016;51
Luxemburgo;Mujeres;2015;51
Luxemburgo;Mujeres;2014;51,4
Hungría;Hombres;2020;46
Hungría;Hombres;2019;46,1
Hungría;Hombres;2018;46,1
Hungría;Hombres;2017;45,8
Hungría;Hombres;2016;45,7
Hungría;Hombres;2015;45,5
Hungría;Hombres;2014;44,8
Hungría;Mujeres;2020;54
Hungría;Mujeres;2019;53,9
Hungría;Mujeres;2018;53,9
Hungría;Mujeres;2017;54,2
Hungría;Mujeres;2016;54,3
Hungría;Mujeres;2015;54,5
Hungría;Mujeres;2014;55,2
Malta;Hombres;2020;43
Malta;Hombres;2019;43,2
Malta;Hombres;2018;44,1
Malta;Hombres;2017;44,1
Malta;Hombres;2016;44,3
Malta;Hombres;2015;44,1
Malta;Hombres;2014;45,1
Malta;Mujeres;2020;57
Malta;Mujeres;2019;56,8
Malta;Mujeres;2018;55,9
Malta;Mujeres;2017;55,9
Malta;Mujeres;2016;55,7
Malta;Mujeres;2015;55,9
Malta;Mujeres;2014;54,9
Países Bajos;Hombres;2020;47,4
Países Bajos;Hombres;2019;47,9
Países Bajos;Hombres;2018;47,9
Países Bajos;Hombres;2017;47,7
Países Bajos;Hombres;2016;48,1
Países Bajos;Hombres;2015;47,6
Países Bajos;Hombres;2014;48,6
Países Bajos;Mujeres;2020;52,6
Países Bajos;Mujeres;2019;52,1
